"image","caption","entities","relations"
"3612.png","A diagram showing the human respiratory system and a close-up view of the alveoli structure.","sinuses; pharynx; trachea; larynx; bronchiole; alveoli; lung; bronchial - tube; image of Respiratory system; image of Alveoli","sinuses → image of Respiratory system; pharynx → image of Respiratory system; trachea → image of Respiratory system; larynx → image of Respiratory system; bronchiole → image of Alveoli; alveoli → image of Alveoli; lung → image of Respiratory system; bronchial - tube → image of Respiratory system"
"3613.png","A diagram showing the Human Respiratory System. The image has a title: human respiratory system.","human respiratory system; bronchus; pulmonary venule ; pulmonary arteriole; alveoli; diaphragm; lower lobe; heart; upper lobe; trachea (windpipe)-; image of Trachea","bronchus → image of Trachea; pulmonary venule  → image of Trachea; pulmonary arteriole → image of Trachea; alveoli → image of Trachea; diaphragm → image of Trachea; lower lobe → image of Trachea; heart → image of Trachea; upper lobe → image of Trachea; trachea (windpipe)- → image of Trachea"
"3614.png","A diagram showing the human respiratory system. Its title is: (a) the respiratory system.","larynx; tongue; diaphragm; left bronchus; left lung; nasal cavity; (a) the respiratory system; pharynx; vocal cords; esophagus; trachea; right lung; right bronchus; image of Anatomy labels","larynx → image of Anatomy labels; tongue → image of Anatomy labels; diaphragm → image of Anatomy labels; left bronchus → image of Anatomy labels; left lung → image of Anatomy labels; nasal cavity → image of Anatomy labels; pharynx → image of Anatomy labels; vocal cords → image of Anatomy labels; esophagus → image of Anatomy labels; trachea → image of Anatomy labels; right lung → image of Anatomy labels; right bronchus → image of Anatomy labels"
"3615.png","A diagram showing the human respiratory system","bronchus; trachea; lungs; bronchioles; alveoli; image of Lungs; image of Alveoli","bronchus → image of Lungs; trachea → image of Lungs; lungs → image of Lungs; bronchioles → image of Alveoli; alveoli → image of Alveoli"
"3616.png","A diagram showing the cross-section of human respiratory system","windpipe; pleura on chest wall; ribs & chest wall; pleural space; bronchus; pleura on lung; lungs; alveoli (air sacs); diaphragm; image of Windpipe","windpipe → image of Windpipe; pleura on chest wall → image of Windpipe; ribs & chest wall → image of Windpipe; pleural space → image of Windpipe; bronchus → image of Windpipe; pleura on lung → image of Windpipe; lungs → image of Windpipe; lungs → image of Windpipe; alveoli (air sacs) → image of Windpipe; diaphragm → image of Windpipe"
"3617.png","A diagram showing the respiratory system within the human body","bronchiole; trachea; pleura; alveoli; bronchi; lobes; lungs; image of Lungs","bronchiole → image of Lungs; trachea → image of Lungs; pleura → image of Lungs; alveoli → image of Lungs; bronchi → image of Lungs; lobes → image of Lungs; lungs → image of Lungs"
"3618.png","A diagram showing the human respiratory system","bronchioles; air sacs(alveoli); diaphragm; lung; airways(bronchi); windpipe(trachea); image of Lungs","bronchioles → image of Lungs; air sacs(alveoli) → image of Lungs; diaphragm → image of Lungs; lung → image of Lungs; airways(bronchi) → image of Lungs; windpipe(trachea) → image of Lungs"
"3619.png","A diagram showing the structure of the alveolar wall in the lung","alveolar type ii cell; lamellar body; tubular myelin; alveolar fluid; alveolar macrophage; alveolar type i cell; surfactant layer; air space; image of Organelle","alveolar type ii cell → image of Organelle; lamellar body → image of Organelle; tubular myelin → image of Organelle; tubular myelin → image of Organelle; alveolar fluid → image of Organelle; alveolar macrophage → image of Organelle; alveolar type i cell → image of Organelle; surfactant layer → image of Organelle; air space → I0"
"3620.png","A diagram showing the human circulatory system with the heart, lungs, and associated blood vessels.","capillaries; pulmonary circuit; aorta to systemic arteries; systemic veins; left ventricle; left atrium; systemic circuit; lung; copyright the mcgraw-hill companies,inc. permission required for reproduction or display.; right atrium; pulmonary veins; pulmonary arteries; right ventricle; vessels transporting deoxygenated blood; vessels transporting oxygenated blood; vessels involved in gas exchange; capillaries; image of Circulatory system","capillaries → image of Circulatory system; pulmonary circuit → image of Circulatory system; aorta to systemic arteries → image of Circulatory system; systemic veins → image of Circulatory system; left ventricle → image of Circulatory system; left atrium → image of Circulatory system; systemic circuit → image of Circulatory system; lung → image of Circulatory system; copyright the mcgraw-hill companies,inc. permission required for reproduction or display. → I0; right atrium → image of Circulatory system; pulmonary veins → image of Circulatory system; pulmonary arteries → image of Circulatory system; right ventricle → image of Circulatory system; vessels transporting deoxygenated blood → I0; vessels transporting oxygenated blood → I0; vessels involved in gas exchange → I0; capillaries → image of Circulatory system"
"3621.png","A diagram showing the human circulatory system with labeled organs","liver; intestines; legs and lower body; kidneys; head and upper body; lungs; heart; image of Torso","liver → image of Torso; intestines → image of Torso; kidneys → image of Torso; lungs → image of Torso; heart → image of Torso"
"3622.png","A diagram showing the human circulatory system with a focus on the heart and lung circulation.","capillaries; lung; right ventricle; pulmonary circuit; vessels transporting oxygenated blood; vessels transporting deoxygenated blood; vessels involved in gas exchange; capillaries; systemic circuit; left atrium; left ventricle; aorta to systemic atreries; systemic veins; pulmonary veins; pulmonary arteries; right atrium; image of Heart","capillaries → image of Heart; lung → image of Heart; right ventricle → image of Heart; pulmonary circuit → image of Heart; vessels transporting oxygenated blood → I0; vessels transporting deoxygenated blood → I0; vessels involved in gas exchange → I0; capillaries → image of Heart; systemic circuit → image of Heart; left atrium → image of Heart; left ventricle → image of Heart; aorta to systemic atreries → image of Heart; systemic veins → image of Heart; pulmonary veins → image of Heart; pulmonary arteries → image of Heart; pulmonary arteries → image of Heart; pulmonary arteries → image of Heart; right atrium → image of Heart"
"3623.png","A diagram showing the human circulatory system with labeled parts.","co2; o2; systemic capillaries; o2; co2; capillaries; inferior vena cava; right atrium; right ventricle; pulmonary capillaries; superior vena cava; lung; systemic capillaries; left atrium; pulmonary artery; co2; pulmonary vein; o2; aorta; left ventricle; tissue cells; image of Circulatory system","systemic capillaries → image of Circulatory system; capillaries → image of Circulatory system; inferior vena cava → image of Circulatory system; right atrium → image of Circulatory system; right ventricle → image of Circulatory system; pulmonary capillaries → image of Circulatory system; superior vena cava → image of Circulatory system; lung → image of Circulatory system; systemic capillaries → image of Circulatory system; pulmonary artery → image of Circulatory system; pulmonary vein → image of Circulatory system; aorta → image of Circulatory system; left ventricle → image of Circulatory system; tissue cells → image of Circulatory system"
"3624.png","A diagram showing the human circulatory system with labeled parts.","capillaries of head and forelimbs; pulmonary artery; aorta; capillaries of abdominal organs and hind limbs; 3; 7; 6; 4; 2; 9; 11; 1; aorta; 5; 3; 10; right atrium; pulmonary vein; posterior - vena cava; right ventricle; 8; anterior vena cava; pulmonary artery; capillaries of right lung; capillaries of left lung; pulmonary vein; left atrium; left ventricle; image of Anterior vena cava","capillaries of head and forelimbs → image of Anterior vena cava; pulmonary artery → image of Anterior vena cava; aorta → image of Anterior vena cava; capillaries of abdominal organs and hind limbs → image of Anterior vena cava; 3 → I0; 7 → I0; 6 → image of Anterior vena cava; 4 → image of Anterior vena cava; 2 → image of Anterior vena cava; 9 → I0; 11 → image of Anterior vena cava; 11 → image of Anterior vena cava; 1 → image of Anterior vena cava; aorta → image of Anterior vena cava; 5 → image of Anterior vena cava; 3 → I0; 10 → image of Anterior vena cava; right atrium → image of Anterior vena cava; pulmonary vein → image of Anterior vena cava; posterior - vena cava → image of Anterior vena cava; right ventricle → image of Anterior vena cava; 8 → I0; anterior vena cava → image of Anterior vena cava; pulmonary artery → image of Anterior vena cava; capillaries of right lung → image of Anterior vena cava; capillaries of left lung → image of Anterior vena cava; pulmonary vein → image of Anterior vena cava; left atrium → image of Anterior vena cava; left ventricle → image of Anterior vena cava"
"3625.png","A diagram showing the human circulatory system with labeled parts","aorta; head & arms; kidneys; digestive tract; carotid artery; lungs; jugular vein; superior vena cava; lungs; inferior vena cava; liver; trunk & legs; image of Heart","aorta → image of Heart; head & arms → image of Heart; kidneys → image of Heart; digestive tract → image of Heart; carotid artery → image of Heart; lungs → image of Heart; jugular vein → image of Heart; superior vena cava → image of Heart; lungs → image of Heart; inferior vena cava → image of Heart; liver → image of Heart; trunk & legs → image of Heart"
"3626.png","A diagram showing the pulmonary and systemic circulatory systems. Its title is: schematic representation of pulmonary and systemic circulatory systems.","schematic representation of pulmonary and systemic circulatory systems; right lung; hepatic vein; portal vein; liver; right'heart; pulmonary veins; inferior vena cava; superior vena cava-; left lung; pulmonary artery; left heart; aorta; kidneys; extremities, abdomnial and pelvic organs, skeletal muscles, bones; digestive organs (intestines, stomach:; image of Circulatory System","right lung → image of Circulatory System; hepatic vein → image of Circulatory System; portal vein → image of Circulatory System; liver → image of Circulatory System; right'heart → image of Circulatory System; pulmonary veins → image of Circulatory System; pulmonary veins → image of Circulatory System; inferior vena cava → image of Circulatory System; superior vena cava- → image of Circulatory System; left lung → image of Circulatory System; pulmonary artery → image of Circulatory System; left heart → image of Circulatory System; aorta → image of Circulatory System; kidneys → image of Circulatory System; extremities, abdomnial and pelvic organs, skeletal muscles, bones → I0; digestive organs (intestines, stomach: → image of Circulatory System"
"3627.png","A diagram showing the human circulatory system with labeled parts.","right lung; inferior vena cava; aorta; head; pulmonary artery; superior vena cava; pulmonary vein; liver and intestine; kidneys; lower body; lower systemic circulation; left lung; abdominal aorta; pulmonary circulation\; upper systemic circulation; image of Head","inferior vena cava → image of Head; aorta → image of Head; head → image of Head; pulmonary artery → image of Head; superior vena cava → image of Head; pulmonary vein → image of Head; liver and intestine → image of Head; kidneys → image of Head; lower body → image of Head; lower systemic circulation → image of Head; abdominal aorta → image of Head; pulmonary circulation\ → image of Head; upper systemic circulation → image of Head"
"3628.png","A diagram showing the circulation of blood through the heart, lungs, and body, indicating the oxygenation process.","deoxygenated blood is carried to the lungs; oxygen diffuses into the blood; alveolus int he lung; oxygenated blood is carried to all the cells in the body from the left side of the heart.; oxygen diffuses from the blood to the body cells; left side of heart; right side of heart; deoxygenated blood is returned to the right side of the heart; image of Lungs","deoxygenated blood is carried to the lungs → image of Lungs; oxygen diffuses into the blood → image of Lungs; alveolus int he lung → image of Lungs; oxygenated blood is carried to all the cells in the body from the left side of the heart. → image of Lungs; oxygen diffuses from the blood to the body cells → image of Lungs; left side of heart → image of Lungs; right side of heart → image of Lungs; deoxygenated blood is returned to the right side of the heart → image of Lungs"
"3629.png","A diagram showing the human circulatory system with labeled veins and arteries.","iliac artery; femoral vein; subclavian vein; internal jugular vein; pulmonary artery; inferior vena cava; superior vena cava; cephalic vein; basilic vein; renalvein; iliac vein; subclavian artery; femoral artery; external carotid artery; pulmonary vein; aorta; brachial artery; renal artery; radial artery; ulnar artery; great saphenous vein; small saphenous vein; anterior tibial vein; anterior tibial artery; posterior tibial artery; external jugular vein; internal carotid artery; image of Label","iliac artery → image of Label; femoral vein → image of Label; subclavian vein → image of Label; internal jugular vein → image of Label; pulmonary artery → image of Label; inferior vena cava → image of Label; superior vena cava → image of Label; cephalic vein → image of Label; basilic vein → image of Label; renalvein → image of Label; iliac vein → image of Label; subclavian artery → image of Label; femoral artery → image of Label; external carotid artery → image of Label; pulmonary vein → image of Label; aorta → image of Label; brachial artery → image of Label; renal artery → image of Label; radial artery → image of Label; ulnar artery → image of Label; great saphenous vein → image of Label; small saphenous vein → image of Label; anterior tibial vein → image of Label; anterior tibial artery → image of Label; posterior tibial artery → image of Label; external jugular vein → image of Label; internal carotid artery → image of Label"
"3630.png","A diagram showing the circulatory system of the human body","veins (blue); heart; arteries (red); image of Heart","veins (blue) → image of Heart; heart → image of Heart; arteries (red) → image of Heart"
"3631.png","A diagram showing the human circulatory system","superior vena cava; pulmonary veins; inferior vena cava; femoral vein; aorta; pulmonary arteries; descending aorta; femoral artery; image of Heart","superior vena cava → image of Heart; pulmonary veins → image of Heart; inferior vena cava → image of Heart; femoral vein → image of Heart; aorta → image of Heart; pulmonary arteries → image of Heart; descending aorta → image of Heart; femoral artery → image of Heart"
"3632.png","A diagram showing the human respiratory system","nose; mouth; trachea; diaphragm; lungs; image of Respiratory system","nose → image of Respiratory system; mouth → image of Respiratory system; trachea → image of Respiratory system; diaphragm → image of Respiratory system; lungs → image of Respiratory system; lungs → image of Respiratory system"
"3633.png","A diagram showing the human circulatory system with labeled parts","aorta; heart; superior vena cava; inferior vena cava; left kidney; descending aorta; right kidney; a.d.a.m.; image of Label","aorta → image of Label; heart → image of Label; superior vena cava → image of Label; inferior vena cava → image of Label; left kidney → image of Label; descending aorta → image of Label; right kidney → image of Label; a.d.a.m. → I0"
"3634.png","A diagram showing the human circulatory system with labeled veins and arteries.","superior vena cava; pulmonary vein; small saphenous vein; great saphenous vein; femoral vein; iliac vein; renal vein; basilic vein; cephalic vein; inferior vena cava; pulmonary artery; aorta; brachial artery; renal artery; radial artery; ulnar artery; iliac artery; femoral artery; anterior tibial artery; image of Superior vena cava","superior vena cava → image of Superior vena cava; pulmonary vein → image of Superior vena cava; small saphenous vein → image of Superior vena cava; great saphenous vein → image of Superior vena cava; femoral vein → image of Superior vena cava; iliac vein → image of Superior vena cava; renal vein → image of Superior vena cava; basilic vein → image of Superior vena cava; cephalic vein → image of Superior vena cava; inferior vena cava → image of Superior vena cava; pulmonary artery → image of Superior vena cava; aorta → image of Superior vena cava; brachial artery → image of Superior vena cava; renal artery → image of Superior vena cava; radial artery → image of Superior vena cava; ulnar artery → image of Superior vena cava; iliac artery → image of Superior vena cava; femoral artery → image of Superior vena cava; anterior tibial artery → image of Superior vena cava"
"3635.png","A diagram showing the major blood vessels in the human body","see head diagram for more detail about the aortic arch vessels.; carotid artery; inferior vena cava; subclavian vein; jugular vein; pulmonary vein; arch of the aorta; thoracic aorta; abdominal aorta; superior vena cava; pulmonary artery; image of Blood vessel","see head diagram for more detail about the aortic arch vessels. → I0; carotid artery → image of Blood vessel; inferior vena cava → image of Blood vessel; subclavian vein → image of Blood vessel; jugular vein → image of Blood vessel; pulmonary vein → image of Blood vessel; arch of the aorta → image of Blood vessel; thoracic aorta → image of Blood vessel; abdominal aorta → image of Blood vessel; superior vena cava → image of Blood vessel; pulmonary artery → image of Blood vessel"
"3636.png","A diagram showing the human circulatory system with labeled parts.","jugular vein; subclavian vein; heart; aorta; femora vein; femoral artery; vena cava; subclavian artery; carotid artery; image of Torso","jugular vein → image of Torso; subclavian vein → image of Torso; heart → image of Torso; aorta → image of Torso; femora vein → image of Torso; femoral artery → image of Torso; vena cava → image of Torso; subclavian artery → image of Torso; carotid artery → image of Torso"
"3637.png","A diagram showing the human circulatory system. Titled as the circulatory system.","the circulatory system; humeral artery; jugular vein; carotid artery; heart; vena cava; aorta; renal vein; femoral artery; image of Title","humeral artery → image of Title; jugular vein → image of Title; carotid artery → image of Title; heart → image of Title; vena cava → image of Title; aorta → image of Title; renal vein → image of Title; femoral artery → image of Title"
"3638.png","A diagram showing the human circulatory system with labeled parts.","brachiocephalic (innominate) artery; left common carotid artery; thoracic aorta; spleen; splenic artery; gastric arteries; stomach; inferior mesenteric artery; descending colon; right subclavian artery; right subclavian vein; superior vena cava; right common carotid artery; right pulmonary artery; right pulmonary veins; right atrium; right ventricle; inferior vena cava; hepatic blood vessels; liver; renal blood vessels; kidney; superior mesenteric artery; internal jugular vein; common iliac artery; ascending colon; external iliac vein; external iliac artery; 2006 merriam-webster, inc; left subclavian artery; aorta; left pulmonary artery; left pulmonary veins; left ventricle; left atrium; image of Arteries","brachiocephalic (innominate) artery → image of Arteries; left common carotid artery → image of Arteries; thoracic aorta → image of Arteries; spleen → image of Arteries; splenic artery → image of Arteries; splenic artery → image of Arteries; gastric arteries → image of Arteries; stomach → image of Arteries; inferior mesenteric artery → image of Arteries; descending colon → image of Arteries; right subclavian artery → image of Arteries; right subclavian vein → image of Arteries; superior vena cava → image of Arteries; right common carotid artery → image of Arteries; right pulmonary artery → image of Arteries; right pulmonary veins → image of Arteries; right atrium → image of Arteries; right ventricle → image of Arteries; inferior vena cava → image of Arteries; hepatic blood vessels → image of Arteries; liver → image of Arteries; renal blood vessels → image of Arteries; kidney → image of Arteries; superior mesenteric artery → image of Arteries; internal jugular vein → image of Arteries; common iliac artery → image of Arteries; ascending colon → image of Arteries; external iliac vein → image of Arteries; external iliac artery → image of Arteries; 2006 merriam-webster, inc → I0; left subclavian artery → image of Arteries; aorta → image of Arteries; left pulmonary artery → image of Arteries; left pulmonary veins → image of Arteries; left ventricle → image of Arteries; left atrium → image of Arteries"
"3639.png","A diagram showing the human circulatory system","heart; ascending aorta; descending aorta; inferior vena cava; superior vena cava; pulmonary veins; pulmonary artery; image of Heart","heart → image of Heart; ascending aorta → image of Heart; descending aorta → image of Heart; inferior vena cava → image of Heart; superior vena cava → image of Heart; pulmonary veins → image of Heart; pulmonary artery → image of Heart"
"3640.png","A diagram showing the human heart with labeled parts","aorta (to body); pulmonary artery (to lungs); pulm onary veins (from lungs); left atrium (upper chamber); left ventricle (lower chamber); right ventricle; valve; right atrium; inferior vena cava (from legs and torso); superior vena cava (from arms and head); image of Heart","aorta (to body) → image of Heart; pulmonary artery (to lungs) → image of Heart; pulmonary artery (to lungs) → image of Heart; pulm onary veins (from lungs) → image of Heart; left atrium (upper chamber) → image of Heart; left atrium (upper chamber) → image of Heart; left ventricle (lower chamber) → image of Heart; right ventricle → image of Heart; valve → image of Heart; right atrium → image of Heart; inferior vena cava (from legs and torso) → image of Heart; superior vena cava (from arms and head) → image of Heart"
"3641.png","A diagram showing the internal structure of the heart with labeled parts.","right atrioventricular valve; right ventricle; papillary muscle; right ventricular free wall; ventricular septum; left ventricular free wall; left ventricle; chorda tendinea; left atrioventricular valve; image of Heart","right atrioventricular valve → image of Heart; right ventricle → image of Heart; papillary muscle → image of Heart; right ventricular free wall → image of Heart; ventricular septum → image of Heart; left ventricular free wall → image of Heart; left ventricle → image of Heart; chorda tendinea → image of Heart; left atrioventricular valve → image of Heart"
"3642.png","A diagram showing the human heart and its major components","ascending aorta (to head and arms) ; aorta; right ventricle; right coronary artery; right pulmonary veins (from right lung); right atrium; pulmonary artery (to right lung); superior vena cava; ligamen anteriosum; pulmonary artery (to left lung); left atrium; left pulmonary veins (from left lung); left coronary artery; left ventricle; descending aorta (to lower body); inferior vena cava; image of Heart structure","ascending aorta (to head and arms)  → image of Heart structure; aorta → image of Heart structure; right ventricle → image of Heart structure; right coronary artery → image of Heart structure; right pulmonary veins (from right lung) → image of Heart structure; right atrium → image of Heart structure; pulmonary artery (to right lung) → image of Heart structure; superior vena cava → image of Heart structure; ligamen anteriosum → image of Heart structure; pulmonary artery (to left lung) → image of Heart structure; left atrium → image of Heart structure; left pulmonary veins (from left lung) → image of Heart structure; left coronary artery → image of Heart structure; left ventricle → image of Heart structure; descending aorta (to lower body) → image of Heart structure; inferior vena cava → image of Heart structure"
"3643.png","A diagram showing the human heart with labeled parts","vena cava; aorta; right ventricle; left ventricle; cardiac muscle; pulmonary artery to lungs; pulmonary valve; pulmonary vein from lungs; right atrium; tricuspid valve; left atrium; mitral valve; aortic valve; image of Heart","aorta → image of Heart; right ventricle → image of Heart; left ventricle → image of Heart; cardiac muscle → image of Heart; pulmonary artery to lungs → image of Heart; pulmonary valve → image of Heart; pulmonary vein from lungs → image of Heart; right atrium → image of Heart; tricuspid valve → image of Heart; left atrium → image of Heart; mitral valve → image of Heart; aortic valve → image of Heart"
"3644.png","A diagram showing the anatomy of the human heart with labeled parts.The title is: the heart.","pulmonary arteries- (blood goes to the lungs.); pulmonary veins (blood comes from lungs.); left atrium; semilunar valves; the heart; superior vena cava (blood comes from the head and arms.); aortic arch (blood goes to the body.); right atrium; tricuspid valve; inferior vena cava  (blood comes from the body and legs.); heart muscle; right ventricle; septum; mitral valve; left ventricle; image of Aorta","pulmonary arteries- (blood goes to the lungs.) → image of Aorta; pulmonary veins (blood comes from lungs.) → image of Aorta; pulmonary veins (blood comes from lungs.) → image of Aorta; left atrium → image of Aorta; semilunar valves → image of Aorta; semilunar valves → image of Aorta; superior vena cava (blood comes from the head and arms.) → image of Aorta; aortic arch (blood goes to the body.) → image of Aorta; right atrium → image of Aorta; tricuspid valve → image of Aorta; inferior vena cava  (blood comes from the body and legs.) → image of Aorta; heart muscle → image of Aorta; right ventricle → image of Aorta; septum → image of Aorta; mitral valve → image of Aorta; left ventricle → image of Aorta"
"3645.png","A diagram showing the human heart with labeled parts and blood flow direction.","pulmonary veins (from lungs to left atrium); tricuspid valve; to the lungs; mitral valve; pulmonary artery; pulmonary veins(from lungs to right atrium); left atrium; aortic valve; left ventricle; oxygenated blood; descending aorta; superior vena cava; right ventricle; right atrium; pulmonary valve; to the lungs; unoxygenated blood; inferior vena cava; aorta; image of Heart diagram","pulmonary veins (from lungs to left atrium) → image of Heart diagram; tricuspid valve → image of Heart diagram; to the lungs → image of Heart diagram; mitral valve → image of Heart diagram; pulmonary artery → image of Heart diagram; pulmonary veins(from lungs to right atrium) → image of Heart diagram; left atrium → image of Heart diagram; aortic valve → image of Heart diagram; left ventricle → image of Heart diagram; oxygenated blood → image of Heart diagram; descending aorta → image of Heart diagram; superior vena cava → image of Heart diagram; right ventricle → image of Heart diagram; right atrium → image of Heart diagram; pulmonary valve → image of Heart diagram; to the lungs → image of Heart diagram; unoxygenated blood → image of Heart diagram; inferior vena cava → image of Heart diagram; aorta → image of Heart diagram"
"3646.png","A diagram showing the human heart with labeled parts","aorta; anterior vena cava; sapium; left ventricle; semilunar value; right atrium; right ventricle; posterior vena cava; pulmonary artery; left atrium; pulmonary vein; atrioventriclar valve; image of Aorta","aorta → image of Aorta; anterior vena cava → image of Aorta; sapium → image of Aorta; left ventricle → image of Aorta; semilunar value → image of Aorta; right atrium → image of Aorta; right ventricle → image of Aorta; posterior vena cava → image of Aorta; pulmonary artery → image of Aorta; left atrium → image of Aorta; pulmonary vein → image of Aorta; atrioventriclar valve → image of Aorta"
"3647.png","A diagram showing the anatomy of the human heart with labeled parts.","inferior vena cava; left side of heart; superior vena cava; right pulmonary artery; right pulmonary veins; right atrium; right ventricle; left pulmonary artery; left pulmonary veins; left atrium; left ventricle; coronary artery; aorta; aorta; right side of heart'; image of Heart","inferior vena cava → image of Heart; left side of heart → image of Heart; superior vena cava → image of Heart; right pulmonary artery → image of Heart; right pulmonary veins → image of Heart; right pulmonary veins → image of Heart; right atrium → image of Heart; right ventricle → image of Heart; left pulmonary artery → image of Heart; left pulmonary veins → image of Heart; left pulmonary veins → image of Heart; left pulmonary veins → image of Heart; left atrium → image of Heart; left ventricle → image of Heart; coronary artery → image of Heart; aorta → image of Heart; aorta → image of Heart; right side of heart' → image of Heart"
"3648.png","A diagram showing the human heart and its surrounding structures","anterior vena cava; aorta; left lung; left atrium; left ventricle; right ventricle; posterior vena cava; right atrium; right lung; image of Aorta","anterior vena cava → image of Aorta; aorta → image of Aorta; aorta → image of Aorta; left lung → image of Aorta; left lung → image of Aorta; left atrium → image of Aorta; left ventricle → image of Aorta; right ventricle → image of Aorta; posterior vena cava → image of Aorta; right atrium → image of Aorta; right lung → image of Aorta; right lung → image of Aorta"
"3649.png","A diagram showing the human heart with labeled parts","pulmonary artery; pulmonary veins; left atrium; left ventricle; right ventricle; right atrium; image of Heart","pulmonary artery → image of Heart; pulmonary veins → image of Heart; left atrium → image of Heart; left ventricle → image of Heart; right ventricle → image of Heart; right atrium → image of Heart"
"3650.png","A diagram showing the human heart with labeled parts and blood flow direction.The image has a title: the human heart.","the human heart; aorta; left atrium; left ventricle; vena cava; right atrium; right ventricle; oxygenated blood; de-oxygenated blood; image of Aorta","aorta → image of Aorta; left atrium → image of Aorta; left ventricle → image of Aorta; vena cava → image of Aorta; right atrium → image of Aorta; right ventricle → image of Aorta; oxygenated blood → I0; de-oxygenated blood → I0"
"3651.png","A diagram showing the anatomy of the human heart. parts of the human heart is the title.","right ventricle; parts of the human heart; aorta; superier vena cava; right atria; tricuspid valve; mitral valve; left ventricle; wisegeek; image of Heart","right ventricle → image of Heart; aorta → image of Heart; superier vena cava → image of Heart; right atria → image of Heart; tricuspid valve → image of Heart; mitral valve → image of Heart; left ventricle → image of Heart; wisegeek → I0"
"3652.png","A diagram showing the human heart with labeled parts and blood flow directions.","left ventricle lower chamber; aorta carrying re-oxygenated blood to the rest of the ; pulmonary artery carrying co2 rich deoxygenated blood to the lungs; pulmonary vein re-oxygenated blood from the lungs; left atrium upper chamber; superior vena cava; right atrium upper chamber; inferior vena cava; right ventricle lower chamber; image of Heart","left ventricle lower chamber → image of Heart; aorta carrying re-oxygenated blood to the rest of the  → image of Heart; pulmonary artery carrying co2 rich deoxygenated blood to the lungs → image of Heart; pulmonary vein re-oxygenated blood from the lungs → image of Heart; left atrium upper chamber → image of Heart; superior vena cava → image of Heart; right atrium upper chamber → image of Heart; inferior vena cava → image of Heart; right ventricle lower chamber → image of Heart"
"3653.png","A diagram showing the human circulatory system with labeled organs and blood vessels.","lungs; sub-clavian artery; liver; stomach; kidneys; iliac artery; iliac vein; renal vein; hepatic portal vein; vena cava; gastric vein; right ventricle; pulmonary vein; pulmonary artery; right atrium; subclavian vein; hepatic artery; left atrium; left ventricle; aorta; gastric artery; small intestine; renal artery; image of Anatomy","lungs → image of Anatomy; sub-clavian artery → image of Anatomy; liver → image of Anatomy; stomach → image of Anatomy; kidneys → image of Anatomy; iliac artery → image of Anatomy; iliac vein → image of Anatomy; renal vein → image of Anatomy; hepatic portal vein → image of Anatomy; vena cava → image of Anatomy; gastric vein → image of Anatomy; right ventricle → image of Anatomy; pulmonary vein → image of Anatomy; right atrium → image of Anatomy; subclavian vein → image of Anatomy; hepatic artery → image of Anatomy; left atrium → image of Anatomy; left ventricle → image of Anatomy; aorta → image of Anatomy; gastric artery → image of Anatomy; small intestine → image of Anatomy; renal artery → image of Anatomy"
"3654.png","A diagram showing the anatomy of the human heart with labeled parts.","pulmonary valve (or semi-lunar valve); mitral valve; aorta; - pulmonary artery; pulmonary vein; left atrium; left ventricle; cardiac muscle; pulmonary veins; right atrium; tricuspid valve; right ventricle; inferior vena cava; superior vena cava; image of Heart","pulmonary valve (or semi-lunar valve) → image of Heart; mitral valve → image of Heart; aorta → image of Heart; - pulmonary artery → image of Heart; pulmonary vein → image of Heart; left atrium → image of Heart; left ventricle → image of Heart; cardiac muscle → image of Heart; pulmonary veins → image of Heart; right atrium → image of Heart; tricuspid valve → image of Heart; right ventricle → image of Heart; inferior vena cava → image of Heart; superior vena cava → image of Heart"
"3655.png","A diagram showing the human circulatory and digestive systems","thyroid; trachea; bladder; urethra; aorta; heart; esophagus; diaphragm; aorta; spleen; stomach; pancreas; superior vena cava; small intestine; large intestine; rectum; lung; liver; inferior vena cava; gallbladder; kidney; ureter; appendix; image of Heart","thyroid → image of Heart; trachea → image of Heart; bladder → image of Heart; urethra → image of Heart; aorta → image of Heart; heart → image of Heart; esophagus → image of Heart; diaphragm → image of Heart; aorta → image of Heart; spleen → image of Heart; stomach → image of Heart; pancreas → image of Heart; superior vena cava → image of Heart; small intestine → image of Heart; large intestine → image of Heart; rectum → image of Heart; lung → image of Heart; liver → image of Heart; inferior vena cava → image of Heart; gallbladder → image of Heart; kidney → image of Heart; ureter → image of Heart; appendix → image of Heart"
"3656.png","A diagram showing the human circulatory system with labeled parts.","head and arms; jugular vein (also subclavian vein from arms); co2; o2; lungs; pulmonary vein; heart; aorta; mesenteric arteries; liver; digestive tract; kidneys; carotid artery (also subclavian artery to arms); renal artery; iliac artery; co2; trunk and legs; o2; pulmonary artery; superior vena cava; inferior vena cava; hepatic vein; hepatic portal vein; renal vein; iliac vein; image of Lungs","jugular vein (also subclavian vein from arms) → image of Lungs; o2 → image of Lungs; lungs → image of Lungs; pulmonary vein → image of Lungs; heart → image of Lungs; aorta → image of Lungs; mesenteric arteries → image of Lungs; liver → image of Lungs; digestive tract → image of Lungs; kidneys → image of Lungs; carotid artery (also subclavian artery to arms) → image of Lungs; renal artery → image of Lungs; iliac artery → image of Lungs; co2 → image of Lungs; trunk and legs → I0; o2 → image of Lungs; pulmonary artery → image of Lungs; superior vena cava → image of Lungs; inferior vena cava → image of Lungs; hepatic vein → image of Lungs; hepatic portal vein → image of Lungs; renal vein → image of Lungs; iliac vein → image of Lungs"
